Input,Output,ImageName
what is the color of a bar whose value is the same in 2013 and 2011?,Green,multi_col_60339.png
what is the value of red line in 2016?,10047.6,multi_col_60497.png
what is the average of blue line data?,989.73,multi_col_60497.png
what is the diffrence between highest and lowest value of gray bar?,15,multi_col_60501.png
what is the value of the shortest navy blue bar?,3,multi_col_60504.png
what the 2 bars of 100% represents?,Apple TV+,multi_col_60581.png
how many bars shown in the chart?,12,multi_col_60618.png
what is the average of blue bar?,40.5,multi_col_60618.png
how many variables compared ( color) in the charts?,6,multi_col_60670.png
what is the average of all red bars?,3,multi_col_60670.png
what is the sum of the value of all the bars in the dermatology category?,2318,multi_col_60720.png
what's the difference between the highest and lowest number of blue bars?,25,multi_col_60736.png
what is the percentage value of green bar in 2018?,13,multi_col_60800.png
what is the average of all the blue bars?,30,multi_col_60800.png
"in the chart one bar belongs to innovative medicines, what is another bar belongs to?",Sandoz,multi_col_60856.png
what is the average of 2014 all dark blue bar?,20.95,multi_col_60887.png
what does the color grey indicate?,60 years or older,multi_col_60959.png
what attitude does the light blue bar represent?,Very good,multi_col_80033.png
what's the percentage of parents of children in primary school that like online education?,38,multi_col_80033.png
which year does the navy blue color indicate?,2013,multi_col_80079.png
what is the sum of gray bar?,166,multi_col_80103.png
what is the average of all the blue bars ?,35.4,multi_col_100056.png
in how many cases difference between the light blue bar and the dark blue bar is 1?,3,multi_col_100095.png
what is the total of bikini lines (standard or full) for the popular of over 30s?,43,multi_col_100109.png
what does navy blue color indicate?,Surgical stays,multi_col_80628.png
what is the average of last four year in blue line chart ?,45.5,multi_col_80880.png
which two adjacent bars have the nearest number of subscribers?,"[WWE, Kids Diana Show]",two_col_42.png
how many tiny bars exist in this chart?,2,two_col_55.png
are the bars sorted in this graph?,No,two_col_85.png
what's the sum of the first two bars (from the left) percentages?,17.1,two_col_85.png
is the value of the blue bar decreasing over the years?,Yes,multi_col_69.png
in which year the increase of the blue line value compared to the previous year was maximum?,2020,multi_col_83.png
in which time the two lines were closest to each other in this chart?,Mar '21,multi_col_87.png
which gender has invisible bars in this graph?,Unknown,multi_col_162.png
which land drilling company has two bars of the same length?,Precision Drilling Corporation,multi_col_171.png
are the values of the yellow bar sorted from top to bottom?,Yes,multi_col_172.png
which bar is missing in the pwc stacked bars?,Other***,multi_col_178.png
